"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","83,242","76,182","51,000"
"        One race--","","",""
"            White","92,394","82,491","75,778"
"            Black or African American","66,926","62,887","40,770"
"            American Indian and Alaska Native","71,782","N","N"
"            Asian","101,203","81,653","60,833"
"            Native Hawaiian and Other Pacific Islander","N","93,241","46,328"
"            Some other race","65,269","40,870","55,891"
"        Two or more races","86,408","62,366","54,388"
"        Hispanic or Latino origin (of any race)","69,951","63,276","55,643"
"        White alone, not Hispanic or Latino","93,745","83,194","76,602"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","40,513","32,188","30,396"
"    25 to 44 years","85,348","81,336","61,213"
"    45 to 64 years","101,532","91,736","54,642"
"    65 years and over","59,536","54,651","35,242"
"FAMILIES","","",""
"    Families","101,437","93,684","65,702"
"        With own children of householder under 18 years","100,324","94,464","55,699"
"        With no own children of householder under 18 years","102,132","93,198","71,897"
"        Married-couple families","121,022","114,149","92,547"
"            With own children under 18 years","131,469","128,990","100,508"
"        Female householder, no husband present","56,417","55,420","38,776"
"            With own children under 18 years","40,900","40,852","30,234"
"        Male householder, no wife present","69,660","63,657","49,379"
"            With own children under 18 years","56,066","59,433","40,104"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","88,815","81,870","59,225"
"    3-person families","104,390","99,120","64,875"
"    4-person families","125,989","116,898","83,058"
"    5-person families","110,974","103,620","58,029"
"    6-person families","116,987","114,706","81,266"
"    7-or-more person families","124,588","93,247","78,590"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","50,557","48,077","21,410"
"    1 earner","69,529","65,352","45,237"
"    2 earners","123,547","117,150","98,041"
"    3 or more earners","147,862","136,642","123,695"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","50,776","46,397","38,052"
"        Female householder","45,540","40,829","35,250"
"            Living alone","40,492","37,473","28,359"
"            Not living alone","85,803","58,105","77,394"
"        Male householder","56,678","54,069","41,186"
"            Living alone","48,611","48,170","32,290"
"            Not living alone","96,242","74,833","85,305"
