"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","90,203","80,453","54,652"
"        One race--","","",""
"            White","100,980","89,149","83,740"
"            Black or African American","71,790","68,813","42,825"
"            American Indian and Alaska Native","60,714","N","26,331"
"            Asian","113,117","96,907","55,910"
"            Native Hawaiian and Other Pacific Islander","146,213","250,000+","-"
"            Some other race","72,160","57,640","52,401"
"        Two or more races","90,113","68,192","55,905"
"        Hispanic or Latino origin (of any race)","81,032","71,565","62,500"
"        White alone, not Hispanic or Latino","101,178","89,217","84,106"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","46,384","29,870","32,486"
"    25 to 44 years","94,336","86,589","64,265"
"    45 to 64 years","108,299","99,326","57,402"
"    65 years and over","66,528","57,089","35,757"
"FAMILIES","","",""
"    Families","110,978","101,657","68,178"
"        With own children of householder under 18 years","109,980","102,228","53,016"
"        With no own children of householder under 18 years","111,484","101,270","75,233"
"        Married-couple families","135,128","125,610","108,699"
"            With own children under 18 years","145,809","142,658","120,767"
"        Female householder, no spouse present","60,712","58,140","43,224"
"            With own children under 18 years","43,800","44,445","27,875"
"        Male householder, no spouse present","72,712","62,737","57,494"
"            With own children under 18 years","62,314","51,148","62,987"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","95,445","87,153","67,921"
"    3-person families","113,317","102,742","69,125"
"    4-person families","140,379","137,775","83,178"
"    5-person families","129,414","139,555","48,844"
"    6-person families","123,742","110,000","95,032"
"    7-or-more person families","120,420","108,366","52,182"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","55,394","53,416","21,431"
"    1 earner","74,074","64,514","48,877"
"    2 earners","139,816","136,432","108,168"
"    3 or more earners","168,584","154,084","152,701"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","54,348","50,256","42,065"
"        Female householder","50,493","40,360","39,503"
"            Living alone","44,501","36,635","32,018"
"            Not living alone","94,036","78,079","83,457"
"        Male householder","61,488","63,763","46,446"
"            Living alone","51,903","55,860","40,359"
"            Not living alone","99,713","86,828","83,081"
