"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","87,063","78,724","52,164"
"        One race--","","",""
"            White","96,693","85,179","79,434"
"            Black or African American","69,964","68,627","41,005"
"            American Indian and Alaska Native","77,912","76,131","28,750"
"            Asian","108,839","82,138","62,667"
"            Native Hawaiian and Other Pacific Islander","61,029","86,157","-"
"            Some other race","68,894","52,972","58,714"
"        Two or more races","88,848","74,278","62,729"
"        Hispanic or Latino origin (of any race)","76,092","63,633","61,866"
"        White alone, not Hispanic or Latino","97,547","85,610","80,455"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","42,903","39,564","27,570"
"    25 to 44 years","90,255","83,834","63,637"
"    45 to 64 years","105,895","95,864","54,293"
"    65 years and over","62,017","56,004","36,150"
"FAMILIES","","",""
"    Families","105,790","97,334","64,814"
"        With own children of householder under 18 years","103,641","95,513","52,492"
"        With no own children of householder under 18 years","107,080","98,477","73,692"
"        Married-couple families","126,625","117,806","99,787"
"            With own children under 18 years","135,778","129,254","107,102"
"        Female householder, no spouse present","58,151","58,549","41,847"
"            With own children under 18 years","42,769","44,350","29,678"
"        Male householder, no spouse present","73,790","70,432","50,643"
"            With own children under 18 years","60,022","53,392","45,221"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","92,449","85,517","61,936"
"    3-person families","108,079","102,359","62,145"
"    4-person families","127,853","121,185","71,541"
"    5-person families","120,543","111,796","71,434"
"    6-person families","118,125","112,449","77,731"
"    7-or-more person families","117,986","95,371","77,782"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","52,230","49,246","20,189"
"    1 earner","70,603","67,593","47,272"
"    2 earners","128,739","121,030","100,808"
"    3 or more earners","153,203","142,793","122,403"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","52,712","49,740","39,140"
"        Female householder","47,413","45,285","36,627"
"            Living alone","42,406","42,117","31,063"
"            Not living alone","88,921","77,017","71,967"
"        Male householder","60,154","55,415","42,366"
"            Living alone","52,564","51,057","34,629"
"            Not living alone","97,918","79,167","90,772"
