"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","80,776","73,805","47,131"
"    One race--","","",""
"        White","90,570","80,557","75,009"
"        Black or African American","64,120","64,379","36,648"
"        American Indian and Alaska Native","81,653","68,877","30,486"
"        Asian","100,019","67,013","63,623"
"        Native Hawaiian and Other Pacific Islander","N","-","-"
"        Some other race","61,183","55,154","40,167"
"    Two or more races","81,270","85,475","54,156"
"Hispanic or Latino origin (of any race)","71,376","61,936","57,028"
"White alone, not Hispanic or Latino","91,044","80,796","75,496"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","42,080","34,471","22,338"
"    25 to 44 years","84,121","81,226","57,847"
"    45 to 64 years","97,863","91,493","48,608"
"    65 years and over","56,296","49,543","32,280"
"FAMILIES","","",""
"    Families","98,393","92,863","58,613"
"        With own children of householder under 18 years","97,680","91,080","46,117"
"        With no own children of householder under 18 years","98,842","93,918","67,623"
"        Married-couple families","117,255","109,817","97,084"
"            With own children under 18 years","125,988","116,180","105,707"
"        Female householder, no husband present","52,458","57,796","35,770"
"            With own children under 18 years","38,867","46,052","28,170"
"        Male householder, no wife present","66,746","63,205","40,954"
"            With own children under 18 years","52,355","52,073","28,343"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","84,731","82,295","56,559"
"    3-person families","102,917","97,152","57,094"
"    4-person families","115,771","106,396","58,459"
"    5-person families","110,043","113,213","62,962"
"    6-person families","108,028","111,601","76,871"
"    7-or-more person families","102,482","87,998","69,189"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","46,443","43,438","19,569"
"    1 earner","64,615","60,826","40,339"
"    2 earners","119,949","115,271","95,811"
"    3 or more earners","141,656","126,085","121,693"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","50,457","46,603","35,393"
"        Female householder","45,284","43,354","30,789"
"            Living alone","40,572","40,479","26,083"
"            Not living alone","88,579","82,378","74,888"
"        Male householder","56,115","53,283","41,917"
"            Living alone","50,294","49,569","34,222"
"            Not living alone","86,448","69,466","81,485"
