"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","86,738","77,358","50,177"
"        One race--","","",""
"            White","96,724","85,831","81,116"
"            Black or African American","68,377","66,639","39,101"
"            American Indian and Alaska Native","57,692","97,172","N"
"            Asian","108,105","79,401","69,309"
"            Native Hawaiian and Other Pacific Islander","67,950","N","-"
"            Some other race","69,924","63,205","40,693"
"        Two or more races","85,680","75,477","62,241"
"        Hispanic or Latino origin (of any race)","74,631","65,109","52,486"
"        White alone, not Hispanic or Latino","97,500","85,929","82,452"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","47,740","42,589","38,117"
"    25 to 44 years","88,791","83,043","62,063"
"    45 to 64 years","105,099","94,052","54,968"
"    65 years and over","63,552","57,022","35,384"
"FAMILIES","","",""
"    Families","105,679","96,502","65,518"
"        With own children of householder under 18 years","103,580","96,978","49,147"
"        With no own children of householder under 18 years","106,685","96,177","71,663"
"        Married-couple families","126,286","116,775","101,879"
"            With own children under 18 years","136,795","132,916","109,938"
"        Female householder, no spouse present","59,503","60,156","41,678"
"            With own children under 18 years","44,127","50,202","29,252"
"        Male householder, no spouse present","70,705","70,266","46,087"
"            With own children under 18 years","54,451","50,486","42,211"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","93,255","85,081","61,638"
"    3-person families","107,552","100,928","61,353"
"    4-person families","130,252","126,237","71,553"
"    5-person families","123,729","102,670","83,629"
"    6-person families","109,374","113,711","51,149"
"    7-or-more person families","114,890","122,817","70,918"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","55,164","55,290","24,687"
"    1 earner","70,964","66,476","47,674"
"    2 earners","129,951","123,984","101,627"
"    3 or more earners","153,302","143,925","121,744"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","51,990","49,712","37,905"
"        Female householder","47,276","42,867","34,602"
"            Living alone","41,644","40,675","29,712"
"            Not living alone","87,561","78,152","83,207"
"        Male householder","59,872","55,479","42,084"
"            Living alone","51,976","52,365","33,423"
"            Not living alone","93,610","78,636","92,924"
