Community,2016 Data
Allendale/Irvington/S. Hilton,50.5
Baltimore City,48.2
Beechfield/Ten Hills/West Hills,59.3
Belair-Edison,52.3
Brooklyn/Curtis Bay/Hawkins Point,26.1
Canton,58.1
Cedonia/Frankford,51.2
Cherry Hill,44.5
Chinquapin Park/Belvedere,54.6
Claremont/Armistead,43.1
Clifton-Berea,43.8
Cross-Country/Cheswolde,58.3
Dickeyville/Franklintown,42.8
Dorchester/Ashburton,52.2
Downtown/Seton Hill,37.2
Edmondson Village,56.7
Fells Point,52.6
Forest Park/Walbrook,49.8
Glen-Fallstaff,50
Greater Charles Village/Barclay,37.5
Greater Govans,51.9
Greater Mondawmin,49.3
Greater Roland Park/Poplar Hill,72.4
Greater Rosemont,46.2
Greenmount East,46.4
Hamilton,54.4
Harbor East/Little Italy,42.5
Harford/Echodale,54.7
Highlandtown,52.4
Howard Park/West Arlington,52.2
Inner Harbor/Federal Hill,59
Lauraville,59.3
Loch Raven,57.2
Madison/East End,37.6
Medfield/Hampden/Woodberry/Remington,56.6
Midtown,51.5
Midway/Coldstream,47.5
Morrell Park/Violetville,33.9
Mount Washington/Coldspring,75.6
North Baltimore/Guilford/Homeland,47.8
Northwood,51
Oldtown/Middle East,40.4
Orangeville/East Highlandtown,31.6
Patterson Park North and East,47.6
Penn North/Reservoir Hill,48.3
Pimlico/Arlington/Hilltop,41.8
Poppleton/The Terraces/Hollins Market,43.5
Sandtown-Winchester/Harlem Park,40.1
South Baltimore,70.9
Southeastern,30.1
Southern Park Heights,43.1
Southwest Baltimore,34.1
The Waverlies,56.3
Upton/Druid Heights,40.8
Washington Village/Pigtown,50.6
Westport/Mount Winans/Lakeland,35.6
