"","BALTIMORE, MD 21216",,,,,,,,
15008-LIBERTY GRACE CHURCH OF GOD,"3400 COPLEY RD,",587,19,0,0,0,76,4,686
"","BALTIMORE, MD 21215",,,,,,,,
15009-SCHOOL #64 LIBERTY ELEM,"3901 MAINE AVE,",2135,92,3,7,3,262,30,2532
"","BALTIMORE, MD 21207",,,,,,,,
15010-SCHOOL #87 WINDSOR HILL ELEM,"4001 ALTO RD,",1090,50,4,1,3,142,15,1305
"","BALTIMORE, MD 21216",,,,,,,,
15011-SCHOOL #67  EDGEWOOD ELEM,"1900 EDGEWOOD ST,",1004,35,2,4,2,152,15,1214
"","BALTIMORE, MD 21216",,,,,,,,
15012-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",204,5,0,0,0,35,2,246
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,
15013-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",569,28,1,3,0,83,1,685
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,
15014-SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS,1101,25,2,6,2,132,8,1276
"","PKWY, BALTIMORE, MD",,,,,,,,
"",21216,,,,,,,,
15015-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",588,27,1,0,0,81,8,705
HIGH,"BALTIMORE, MD 21216",,,,,,,,
15016-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",584,20,2,0,3,72,2,683
HIGH,"BALTIMORE, MD 21216",,,,,,,,
15017-SCHOOL #29 MATTHEW HENSON,"1600 N PAYSON ST,",1170,58,1,1,3,181,17,1431
ELEM,"BALTIMORE, MD 21217",,,,,,,,
15018-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",1976,98,2,2,5,288,25,2396
"","BALTIMORE, MD 21217",,,,,,,,
15019-SCHOOL #28 SANDTOWN-,"701 GOLD ST, BALTIMORE,",57,3,0,0,0,5,0,65
WINCHESTER ACHIEVEMENT ACAD,MD 21217,,,,,,,,
15020-SCHOOL #450 FREDERICK,2301 GWYNNS FALLS,1784,74,0,7,4,227,27,2123
DOUGLAS,"PKWY, BALTIMORE, MD",,,,,,,,
"",21217,,,,,,,,
15021-ENGINE HOUSE #52,"3525 WOODBROOK AVE,",899,34,4,1,2,115,13,1068
"","BALTIMORE, MD 21217",,,,,,,,
15022-MONTE VERDE APARTMENTS,"2503 VIOLET AVE,",999,48,1,1,2,133,20,1204
"","BALTIMORE, MD 21215",,,,,,,,
15023-MONTE VERDE APARTMENTS,"2503 VIOLET AVE,",1312,56,3,2,5,175,15,1568
"","BALTIMORE, MD 21215",,,,,,,,
15024-CREATIVE CITY PUBLIC CHARTER,"2810 SHIRLEY AVENUE,",1428,70,3,3,5,184,21,1714
SCH #384,"BALTIMORE, MD 21215",,,,,,,,
15025-CREATIVE CITY PUBLIC CHARTER,"2810 SHIRLEY AVENUE,",620,31,2,0,2,100,9,764
SCH #384,"BALTIMORE, MD 21215",,,,,,,,
16001-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",555,23,1,0,2,71,7,659
"","BALTIMORE, MD 21217",,,,,,,,
16002-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",870,47,0,2,6,131,11,1067
"","BALTIMORE, MD 21217",,,,,,,,
16003-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",597,31,1,4,6,72,5,716
"","BALTIMORE, MD 21217",,,,,,,,
16004-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",361,26,1,1,2,58,9,458
"","BALTIMORE, MD 21217",,,,,,,,
16005-HARLEM PARK RECREATION CENTER,"700 N CALHOUN ST,",1252,58,1,2,3,160,22,1498
"","BALTIMORE, MD 21217",,,,,,,,
16006-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",1242,46,4,1,3,150,11,1457
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16007-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",1109,33,3,2,2,125,10,1284
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16008-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",673,28,0,0,2,77,8,788
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16009-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",1066,45,5,2,2,133,15,1268
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16010-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",670,27,1,1,3,85,5,792
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16011-SCHOOL #63 ROSEMONT ELEM,"2777 PRESSTMAN ST,",498,26,0,2,3,66,6,601
"","BALTIMORE, MD 21216",,,,,,,,
16012-SCHOOL #217 BELMONT ELEM,"1406 N ELLAMONT ST,",1156,47,2,1,1,155,21,1383
"","BALTIMORE, MD 21216",,,,,,,,
16013-ST BERNARDINES CHURCH HALL,"614 MT HOLLY ST,",1247,43,1,0,1,179,21,1492
"","BALTIMORE, MD 21229",,,,,,,,
16014-SCHOOL #88 WILDWOOD,"621 WILDWOOD PKWY,",2408,86,1,5,2,264,24,2790
ELEM/MIDDLE,"BALTIMORE, MD 21229",,,,,,,,
17001-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,141,6,1,0,0,30,2,180
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,
"",21201,,,,,,,,
17002-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,2196,114,7,5,10,299,38,2669
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,
"",21201,,,,,,,,
18001-SCHOOL #178 FRANCIS M. WOOD,"1001 W SARATOGA ST,",803,36,2,1,2,114,14,972
ALTERNATIVE HIGH,"BALTIMORE, MD 21223",,,,,,,,
18002-SCHOOL #10 MCHENRY ELEM,"31 S SCHROEDER ST,",1263,107,7,10,3,276,21,1687
"","BALTIMORE, MD 21223",,,,,,,,
19001-SCHOOL #95 FRANKLIN SQ ELEM,"1400 W LEXINGTON ST,",916,34,1,2,4,131,19,1107
"","BALTIMORE, MD 21223",,,,,,,,
19002-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",1243,170,7,4,9,361,35,1829
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,
19003-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",149,9,0,0,0,23,5,186
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,
20001-SCHOOL #150  MARY ANN,"220 N BENTALOU ST,",1153,49,0,1,3,149,22,1377
WINTERLING ELEM,"BALTIMORE, MD 21223",,,,,,,,
20002-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",462,25,0,3,2,90,10,592
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,
20003-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",1315,49,2,1,4,161,14,1546
"","BALTIMORE, MD 21223",,,,,,,,
20004-KATHERINE JOHNSON GLOBAL,"1101 BRADDISH AVE,",164,10,0,0,0,22,1,197
ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
20005-HILTON RECREATION CENTER,"2950 PHELPS LN,",782,26,1,1,2,109,10,931
"","BALTIMORE, MD 21229",,,,,,,,
20006-MARY E RODMAN REC CTR,"3600 W MULBERRY ST,",2429,72,3,6,7,294,24,2835
"","BALTIMORE, MD 21229",,,,,,,,
20007-HILTON RECREATION CENTER,"2950 PHELPS LN,",1553,89,0,3,2,235,25,1907
"","BALTIMORE, MD 21229",,,,,,,,
20008-HILTON RECREATION CENTER,"2950 PHELPS LN,",495,30,1,2,3,85,7,623
"","BALTIMORE, MD 21229",,,,,,,,
20009-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",402,76,3,3,3,120,10,617
"","BALTIMORE, MD 21223",,,,,,,,
20010-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",349,51,1,0,4,89,7,501
"","BALTIMORE, MD 21223",,,,,,,,
20011-SAMUEL F B MORSE,"424 S PULASKI ST,",836,99,5,4,1,226,22,1193
"","BALTIMORE, MD 21223",,,,,,,,
"*20012",,0,0,0,0,0,0,0,0
"*20013-HILTON RECREATION CENTER","2950 PHELPS LN,",0,0,0,0,0,0,0,0
"","BALTIMORE, MD 21229",,,,,,,,
21001-SCHOOL #22 GEORGE,"800 SCOTT ST,",543,58,3,6,1,202,7,820
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
21002-SCHOOL #22 GEORGE,"800 SCOTT ST,",1021,75,7,9,5,272,14,1403
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
21003-SCHOOL #34 CHARLES CARROLL,"1327 WASHINGTON BLVD,",1371,147,7,8,1,359,26,1919
ELEM,"BALTIMORE, MD 21230",,,,,,,,
21004-SCHOOL #22 GEORGE,"800 SCOTT ST,",241,24,2,3,0,65,4,339
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
"*21005",,0,0,0,0,0,0,0,0
22001-CHRIST CHURCH HARBOR APTS.,"600 LIGHT STREET,",901,158,3,5,1,244,8,1320
INC.,"BALTIMORE, MD 21230",,,,,,,,
22002-ENGINE HOUSE #2,"800 LIGHT ST, BALTIMORE,",1024,155,0,5,0,267,6,1457
"",MD 21230,,,,,,,,
23001-SOUTH BALTIMORE LEARNING CTR,28 E OSTEND ST-,827,244,7,11,1,298,6,1394
"","ENTRANCE PATAPSCO ST,",,,,,,,,
"","BALTIMORE, MD 21230",,,,,,,,
23002-SOLO GIBBS REC CTR,1044 LEADENHALL ST AT,787,131,2,5,2,226,9,1162
"","CROSS ST, BALTIMORE, MD",,,,,,,,
"",21230,,,,,,,,
23003-ELLA BAILEY REC CTR,"100 E HEATH ST,",1199,400,3,24,2,508,14,2150
"","BALTIMORE, MD 21230",,,,,,,,
24001-SCHOOL #45 FEDERAL HILL PREP,"1040 WILLIAM ST,",457,87,0,2,1,118,4,669
ACAD,"BALTIMORE, MD 21230",,,,,,,,
24002-SCHOOL #416 DIGITAL HARBOR,"1100 COVINGTON ST,",498,117,2,5,2,187,1,812
HIGH,"BALTIMORE, MD 21230",,,,,,,,
24003-SCHOOL #416 DIGITAL HARBOR,"1100 COVINGTON ST,",1035,274,1,7,2,341,10,1670
HIGH,"BALTIMORE, MD 21230",,,,,,,,
24004-ELLA BAILEY REC CTR,"100 E HEATH ST,",1460,423,4,13,0,497,13,2410
"","BALTIMORE, MD 21230",,,,,,,,
24005-SCHOOL #76 F SCOTT KEY ELEM,"1425 E FORT AVE,",2174,650,4,26,2,838,17,3711
"","BALTIMORE, MD 21230",,,,,,,,
25001-SCHOOL #246 BEECHFIELD ELEM,"301 S BEECHFIELD AVE,",2207,154,6,3,4,327,37,2738
"","BALTIMORE, MD 21229",,,,,,,,
25002-SCHOOL #246 BEECHFIELD ELEM,"301 S BEECHFIELD AVE,",1555,74,4,3,3,216,24,1879
"","BALTIMORE, MD 21229",,,,,,,,
25003-SCHOOL #226 VIOLETVILLE,"1207 PINE HGTS AVE,",464,204,2,3,2,184,10,869
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
25004-SCHOOL #220 MORRELL PARK,"2601 TOLLEY ST,",1230,454,4,12,6,514,47,2267
ELEM/MID,"BALTIMORE, MD 21230",,,,,,,,
25005-SCHOOL #12 LAKELAND ELEM/MID,2921  STRANDEN RD (REC,1265,173,1,6,5,312,25,1787
"","CTR), BALTIMORE, MD",,,,,,,,
"",21230,,,,,,,,
25006-SCHOOL #225 WESTPORT ELEM,"2401 NEVADA ST,",712,35,1,2,1,120,9,880
"","BALTIMORE, MD 21230",,,,,,,,
25007-ENGINE HOUSE #58,"2425 1/2 ANNAPOLIS RD,",317,20,0,2,1,53,9,402
"","BALTIMORE, MD 21230",,,,,,,,
25008-SCHOOL #164 ARUNDEL ELEM,"2400 ROUND RD,",1699,94,2,6,6,271,35,2113
"","BALTIMORE, MD 21225",,,,,,,,
25009-SCHOOL #159 CHERRY HILL ELEM,"801 BRIDGEVIEW ROAD,",964,38,0,3,2,131,14,1152
"","BALTIMORE, MD 21225",,,,,,,,
25010-SCHOOL #422  NEW ERA ACADEMY,"2700 SEAMON AVE,",991,42,1,0,4,159,11,1208
"","BALTIMORE, MD 21225",,,,,,,,
25011-SCHOOL #203 MARIE FARRING,"300 PONTIAC AVE,",321,109,1,1,3,144,8,587
ELEM,"BALTIMORE, MD 21225",,,,,,,,
25012-SCHOOL #203 MARIE FARRING,"300 PONTIAC AVE,",660,198,5,4,5,273,16,1161
ELEM,"BALTIMORE, MD 21225",,,,,,,,
25013-ENOCH PRATT FREE LIBRARY,"300 E PATAPSCO AVE,",424,128,0,2,2,154,16,726
BROOKLYN BRANCH,"BALTIMORE, MD 21225",,,,,,,,
25014-BROOKLYN HOMES COMMUNITY,"4140 TENTH ST,",749,73,0,4,3,184,16,1029
CENTER,"BALTIMORE, MD 21225",,,,,,,,
25015-SCHOOL #239 MASONVILLE COVE,"1201 CAMBRIA ST,",704,116,0,4,6,202,23,1055
"@ BEN FRANKLIN","BALTIMORE, MD 21225",,,,,,,,
25016-CURTIS BAY REC CTR,"1630 FILBERT ST,",792,249,11,4,4,365,25,1450
"","BALTIMORE, MD 21226",,,,,,,,
25017-SCHOOL #226 VIOLETVILLE,"1207 PINE HGTS AVE,",871,223,5,8,3,289,12,1411
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
"*25018-SCHOOL #226 VIOLETVILLE","1207 PINE HGTS AVE,",0,0,0,0,0,0,0,0
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
26001-ST HELENA COMMUNITY ASSOC,"6509 COLGATE AVE,",139,65,1,3,1,81,4,294
"","BALTIMORE, MD 21222",,,,,,,,
26002-SCHOOL #240 GRACELAND PARK,"6300 ODONNELL ST,",1066,162,3,4,4,248,22,1509
ELEM,"BALTIMORE, MD 21224",,,,,,,,
26003-SCHOOL #240 GRACELAND PARK,"6300 ODONNELL ST,",661,260,2,4,2,263,19,1211
ELEM,"BALTIMORE, MD 21224",,,,,,,,
26004-SCHOOL #405  PATTERSON SR,"100 KANE ST, BALTIMORE,",496,135,4,3,2,159,11,810
HIGH,MD 21224,,,,,,,,
26005-JOSEPH LEE FIELDHOUSE,"5900 E PRATT ST,",275,63,1,3,0,86,7,435
"","BALTIMORE, MD 21224",,,,,,,,
26006-GREEKTOWN SQUARE AND EVENT,"700 S QUAIL ST,",523,136,0,5,0,199,9,872
CENTER,"BALTIMORE, MD 21224",,,,,,,,
26007-GREEKTOWN SQUARE AND EVENT,"700 S QUAIL ST,",797,229,2,3,1,321,25,1378
CENTER,"BALTIMORE, MD 21224",,,,,,,,
26008-CANTON BAPTIST CHURCH,"3302 TOONE ST,",834,271,3,10,2,395,14,1529
"","BALTIMORE, MD 21224",,,,,,,,
26009-SOUTHEAST ANCHOR LIBRARY,"3601 EASTERN AVE,",1703,573,1,19,0,678,17,2991
"","BALTIMORE, MD 21224",,,,,,,,
26010-SCHOOL #215 HIGHLANDTOWN,"3223 E PRATT ST,",1316,248,10,9,6,352,16,1957
ELEM,"BALTIMORE, MD 21224",,,,,,,,
26011-SOUTHEAST ANCHOR LIBRARY,"3601 EASTERN AVE,",554,81,2,6,1,200,14,858
"","BALTIMORE, MD 21224",,,,,,,,
26012-ENGINE HOUSE #51,"646 N HIGHLAND AVE,",335,33,1,0,1,48,3,421
"","BALTIMORE, MD 21205",,,,,,,,
26013-CARROLL COOK REC CTR,"5061 E EAGER ST,",388,181,2,6,1,188,13,779
"","BALTIMORE, MD 21205",,,,,,,,
26014-SCHOOL #243 ARMISTEAD,"5001 E. EAGER ST,",373,176,3,3,3,173,12,743
GARDENS ELEM SCHOOL,"BALTIMORE, MD 21205",,,,,,,,
26015-SCHOOL #105 MORAVIA PARK ELEM,"6001 FRANKFORD AVE,",1269,61,3,5,2,187,20,1547
"","BALTIMORE, MD 21206",,,,,,,,
26016-SCHOOL #374  VANGUARD,5001 SINCLAIR LANE,1008,35,1,2,2,141,21,1210
COLLEGIATE MIDDLE,(REAR) ENTER ON,,,,,,,,
"","TRUESDALE AVE. ,",,,,,,,,
"","BALTIMORE, MD 21206",,,,,,,,
26017-ORCHARD RIDGE @ WOODSIDE,4340 ORCHARD RIDGE,472,18,2,2,1,74,6,575
"","BLVD, BALTIMORE, MD",,,,,,,,
"",21213,,,,,,,,
26018-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",874,44,0,3,0,115,10,1046
"","BALTIMORE, MD 21213",,,,,,,,
26019-ENOCH PRATT FREE LIBRARY,"3801 ERDMAN AVE,",1128,49,0,3,3,175,23,1381
HERRING RUN BRANCH,"BALTIMORE, MD 21213",,,,,,,,
26020-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",593,36,0,1,1,95,11,737
SCHOOL,"BALTIMORE, MD 21213",,,,,,,,
26021-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",760,34,2,4,1,118,10,929
SCHOOL,"BALTIMORE, MD 21213",,,,,,,,
26022-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",597,36,2,1,0,96,7,739
"","BALTIMORE, MD 21206",,,,,,,,
26023-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",929,44,3,1,0,126,20,1123
"","BALTIMORE, MD 21206",,,,,,,,
26024-SCHOOL #374  VANGUARD,5001 SINCLAIR LANE,1725,66,3,3,6,214,13,2030
COLLEGIATE MIDDLE,(REAR) ENTER ON,,,,,,,,
"","TRUESDALE AVE. ,",,,,,,,,
"","BALTIMORE, MD 21206",,,,,,,,
26025-SCHOOL #374  VANGUARD,5001 SINCLAIR LANE,1233,77,3,1,3,211,16,1544
COLLEGIATE MIDDLE,(REAR) ENTER ON,,,,,,,,
"","TRUESDALE AVE. ,",,,,,,,,
"","BALTIMORE, MD 21206",,,,,,,,
26026-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",1360,121,2,7,4,223,14,1731
"","BALTIMORE, MD 21206",,,,,,,,
26027-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",1066,75,2,4,2,155,19,1323
"","BALTIMORE, MD 21206",,,,,,,,
26028-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",988,50,0,1,0,111,7,1157
"","BALTIMORE, MD 21206",,,,,,,,
26029-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",3303,159,7,4,7,471,39,3990
"","BALTIMORE, MD 21206",,,,,,,,
26030-ENGINE HOUSE #54,"5821 BELAIR RD,",732,89,3,2,2,116,8,952
"","BALTIMORE, MD 21206",,,,,,,,
26031-ENGINE HOUSE #54,"5821 BELAIR RD,",502,108,4,5,4,154,5,782
"","BALTIMORE, MD 21206",,,,,,,,
26032-SCHOOL #231 THE BELAIR-EDISON,"3536 BREHMS LN,",1421,64,1,3,5,234,21,1749
SCHOOL,"BALTIMORE, MD 21213",,,,,,,,
26033-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",1279,47,1,1,8,159,17,1512
"","BALTIMORE, MD 21213",,,,,,,,
"*26034-GREEKTOWN SQUARE AND EVENT","700 QUAIL ST, BALTIMORE,",0,0,0,0,0,0,0,0
CENTER,MD 21224,,,,,,,,
27001-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",1682,162,10,1,3,306,21,2185
"","BALTIMORE, MD 21206",,,,,,,,
27002-RAY OF HOPE BAPTIST CHURCH,"3000 PARKSIDE DR,",499,43,2,2,0,71,5,622
"","BALTIMORE, MD 21214",,,,,,,,
27003-ENGINE HOUSE #42,"4522 HARFORD RD,",553,62,8,2,0,80,3,708
"","BALTIMORE, MD 21214",,,,,,,,
27004-HARFORD CENTER FOR SENIOR,"4920 HARFORD ROAD,",424,43,1,0,0,99,1,568
CITZENS,"BALTIMORE, MD 21214",,,,,,,,
27005-SCHOOL #346 CITY NEIGHBORS,"5609 SEFTON  AVE - REAR,",1753,200,7,7,5,341,20,2333
HAMILTON,"BALTIMORE, MD 21214",,,,,,,,
27006-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",2378,178,6,6,4,410,24,3006
"","BALTIMORE, MD 21206",,,,,,,,
27007-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",957,73,4,4,2,166,11,1217
ELEM/MID,"BALTIMORE, MD 21206",,,,,,,,
27008-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",1804,226,3,9,4,354,21,2421
ELEM/MID,"BALTIMORE, MD 21206",,,,,,,,
27009-ENGINE HOUSE #56,"6512 HARFORD RD,",1075,171,3,1,2,209,12,1473
"","BALTIMORE, MD 21234",,,,,,,,
27010-OPEN BIBLE BAPTIST CHURCH,"3902 OVERLEA AVE,",452,147,1,2,3,132,6,743
"","BALTIMORE, MD 21206",,,,,,,,
27011-WOODHOME REC CTR,"7310 MOYER AVE,",1624,356,8,8,3,399,26,2424
"","BALTIMORE, MD 21234",,,,,,,,
27012-NORTH HARFORD REC CTR,"6800 HAMLET AVE,",375,113,5,4,2,112,4,615
"","BALTIMORE, MD 21234",,,,,,,,
27013-PROFESSIONAL DEVELOPMENT,"2500 E NORTHERN PKWY,",1994,216,4,11,4,436,23,2688
CENTER,"BALTIMORE, MD 21214",,,,,,,,
27014-SCHOOL #236  HAMILTON,"6101 OLD  HARFORD RD,",1824,249,14,9,2,375,28,2501
ELEM/MID,"BALTIMORE, MD 21214",,,,,,,,
27015-SCHOOL #413 ACHIEVEMENT ACAD,"2201 PINEWOOD AVE,",1622,119,4,5,3,230,21,2004
"@ HARBOR CITY","BALTIMORE, MD 21214",,,,,,,,
27016-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",545,56,5,0,2,106,3,717
"","BALTIMORE, MD 21214",,,,,,,,
27017-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",1173,63,6,1,2,191,8,1444
