Community,2018 Data
Allendale/Irvington/S. Hilton,41.2
Baltimore City,45.9
Beechfield/Ten Hills/West Hills,52.5
Belair-Edison,42.8
Brooklyn/Curtis Bay/Hawkins Point,28
Canton,57.2
Cedonia/Frankford,44.9
Cherry Hill,31.1
Chinquapin Park/Belvedere,50.8
Claremont/Armistead,37.7
Clifton-Berea,35
Cross-Country/Cheswolde,51.1
Dickeyville/Franklintown,41
Dorchester/Ashburton,48.1
Downtown/Seton Hill,42.4
Edmondson Village,43.1
Fells Point,51.1
Forest Park/Walbrook,42.7
Glen-Fallstaff,47.1
Greater Charles Village/Barclay,49.7
Greater Govans,43.1
Greater Mondawmin,41.4
Greater Roland Park/Poplar Hill,70.6
Greater Rosemont,36.3
Greenmount East,33.8
Hamilton,50.9
Harbor East/Little Italy,36.5
Harford/Echodale,50.1
Highlandtown,52.8
Howard Park/West Arlington,49.6
Inner Harbor/Federal Hill,55.2
Lauraville,55.9
Loch Raven,50.2
Madison/East End,30.6
Medfield/Hampden/Woodberry/Remington,62
Midtown,56.8
Midway/Coldstream,34.5
Morrell Park/Violetville,38
Mount Washington/Coldspring,67.7
North Baltimore/Guilford/Homeland,65.1
Northwood,51
Oldtown/Middle East,33.8
Orangeville/East Highlandtown,35.8
Patterson Park North and East,48.1
Penn North/Reservoir Hill,43.1
Pimlico/Arlington/Hilltop,38.1
Poppleton/The Terraces/Hollins Market,35.8
Sandtown-Winchester/Harlem Park,31.4
South Baltimore,59.7
Southeastern,33.2
Southern Park Heights,33.8
Southwest Baltimore,29.6
The Waverlies,48.8
Upton/Druid Heights,34.1
Washington Village/Pigtown,46.4
Westport/Mount Winans/Lakeland,35.9
